index,polarity
1,-0.006249999999999996
2,0.19666666666666666
3,0.16444444444444442
4,0.6055555555555555
5,0.08771428571428572
6,0.625
7,0.13499999999999998
8,0.0
9,0.47916666666666663
10,0.0
11,1.0
12,0.3333333333333333
13,0.46499999999999997
14,0.29261363636363635
15,-0.1875
16,0.0
17,-0.203125
18,0.3
19,0.0
20,1.0
21,0.0
22,0.9
23,0.0
24,1.0
25,0.325
26,0.48522727272727273
27,0.0
28,0.45
29,-0.3693181818181817
30,0.0
31,0.8
32,0.0
33,0.21212121212121213
34,-0.05500000000000001
35,-0.3243650793650793
36,0.04642857142857142
37,0.0
38,0.0
39,0.0361607142857143
40,-0.0035714285714285904
41,0.3
42,0.0
43,0.8
44,0.09659090909090909
45,0.05
46,-0.06666666666666667
47,0.0
48,0.0
49,0.1392857142857143
50,0.005952380952380973
51,0.125
52,0.10954166666666668
53,0.11111111111111109
54,0.13737373737373737
55,0.14583333333333331
56,-0.18333333333333335
57,0.08888888888888886
58,0.3333333333333333
59,0.0
60,0.0
61,0.0
62,0.125
63,0.10416666666666666
64,0.6000000000000001
65,0.5
66,0.8
67,0.26999999999999996
68,0.24285714285714285
69,0.0
70,0.0
71,0.0
72,-0.09375
73,0.0
74,0.0
75,-0.75
76,-0.0875
77,0.7
78,-0.09999999999999999
79,1.0
80,0.0
81,0.21428571428571427
82,0.0
83,0.3958333333333333
84,0.0
85,0.0
86,0.046875
87,-0.025714285714285714
88,0.13068181818181818
89,0.325
90,0.8
91,0.0
92,0.8
93,0.5
94,0.0
95,0.0
96,0.09814814814814814
97,0.5
98,0.03125
99,-0.18333333333333335
100,-0.004971590909090912
101,-0.31851851851851853
102,-0.125
103,0.0
104,0.09749999999999999
105,0.4
106,0.0
107,0.125
108,0.0
109,0.0
110,0.16666666666666666
111,0.0
112,0.4
113,0.525
114,0.3666666666666667
115,-0.22000000000000003
116,-0.04666666666666666
117,0.005681818181818177
118,-0.1
119,0.35625
120,-0.02499999999999995
121,0.15000000000000002
122,-0.625
123,-0.4791666666666667
124,0.0
125,-0.09270833333333332
126,-0.045833333333333316
127,0.275
128,0.011093749999999986
129,0.0
130,0.0
131,0.0
132,0.625
133,-0.05555555555555555
134,0.0
135,-0.10000000000000002
136,0.5708333333333333
137,-0.13
138,0.08
139,0.385
140,-0.21011904761904762
141,0.31388888888888894
142,-0.0625
143,-0.325
144,0.0
145,0.0
146,0.0
147,0.12142857142857143
148,0.16071428571428567
149,0.0
150,0.0
151,-0.025714285714285714
152,0.0
153,0.08750000000000002
154,0.0
155,0.0
156,0.33295454545454545
157,0.0
158,0.0
159,0.0
160,0.44166666666666665
161,0.026623376623376643
162,0.16666666666666666
163,0.24170875420875423
164,0.0
165,0.4
166,0.5
167,1.0
168,0.0
169,0.0
170,0.0
171,0.34
172,-0.15625
173,0.04
174,0.35
175,-0.16388888888888892
176,0.08333333333333333
177,0.6175
178,0.10476190476190476
179,-0.225
180,0.11212121212121212
181,0.0
182,0.3416666666666667
183,-0.48750000000000004
184,0.53
185,0.0
186,0.0
187,0.4
188,0.3648989898989899
189,0.3
190,0.0
191,0.0
192,-0.3
193,0.325
194,-0.13560606060606062
195,1.0
196,-0.28125
197,0.6
198,0.0
199,0.6172727272727273
200,0.39523809523809517
201,-0.20625
202,0.3968253968253968
203,-0.11666666666666665
204,1.0
205,0.16944444444444443
206,0.25
207,0.3181818181818182
208,0.0
209,-0.43333333333333335
210,0.0
211,0.5700000000000001
212,0.1885416666666667
213,0.8
214,0.0
215,0.0
216,0.28541666666666665
217,0.15868055555555557
218,0.35
219,0.20572916666666669
220,0.33749999999999997
221,-0.09999999999999994
